age,workclass,education,marital-status,occupation,relationship,race,hours-per-week,native-country,income,male,female
25.0,1.0,19.0,5.0,4020.0,6.0,2.0,1.0,8.0,0,40.0,40.0
46.0,1.0,3.0,1.0,9640.0,303.0,1.0,2.0,1.0,0,40.0,40.0
21.0,1.0,20.0,5.0,4760.0,6.0,2.0,1.0,6.0,0,16.0,16.0
62.0,1.0,22.0,1.0,3255.0,41.0,0.0,2.0,1.0,0,40.0,40.0
18.0,1.0,16.0,5.0,9620.0,6.0,2.0,1.0,1.0,0,10.0,10.0
69.0,1.0,19.0,1.0,3930.0,417.0,0.0,1.0,2.0,0,40.0,40.0
21.0,1.0,16.0,5.0,4621.0,6.0,2.0,1.0,6.0,0,25.0,25.0
58.0,2.0,21.0,1.0,410.0,39.0,1.0,2.0,1.0,0,0.0,1.0
29.0,6.0,19.0,1.0,2825.0,6.0,0.0,2.0,1.0,0,3.0,3.0
32.0,1.0,15.0,5.0,8540.0,6.0,4.0,1.0,6.0,0,32.0,32.0
64.0,3.0,21.0,1.0,1108.0,207.0,1.0,1.0,6.0,1,37.0,37.0
53.0,1.0,24.0,1.0,120.0,48.0,1.0,2.0,1.0,1,60.0,60.0
58.0,2.0,21.0,1.0,2435.0,301.0,1.0,2.0,1.0,0,30.0,30.0
49.0,1.0,21.0,3.0,220.0,373.0,15.0,1.0,1.0,1,40.0,40.0
69.0,1.0,20.0,1.0,8740.0,6.0,0.0,1.0,1.0,1,40.0,40.0
49.0,1.0,22.0,1.0,1006.0,210.0,1.0,2.0,6.0,1,40.0,40.0
38.0,1.0,21.0,1.0,705.0,48.0,1.0,1.0,1.0,0,40.0,40.0
50.0,3.0,19.0,5.0,5320.0,6.0,0.0,2.0,1.0,0,40.0,40.0
48.0,1.0,16.0,1.0,4621.0,6.0,1.0,2.0,1.0,0,32.0,32.0
23.0,1.0,16.0,5.0,9640.0,6.0,12.0,2.0,8.0,0,40.0,40.0
58.0,7.0,19.0,1.0,520.0,303.0,1.0,1.0,1.0,0,40.0,40.0
27.0,3.0,22.0,5.0,2440.0,6.0,2.0,2.0,1.0,1,40.0,40.0
24.0,1.0,16.0,5.0,9645.0,6.0,2.0,1.0,1.0,0,24.0,24.0
24.0,1.0,20.0,5.0,4055.0,9.0,0.0,1.0,1.0,0,35.0,35.0
44.0,1.0,18.0,1.0,710.0,6.0,1.0,1.0,1.0,1,50.0,50.0
58.0,1.0,17.0,3.0,9760.0,6.0,0.0,2.0,2.0,1,42.0,42.0
28.0,1.0,20.0,5.0,4030.0,6.0,13.0,2.0,6.0,0,35.0,35.0
27.0,1.0,19.0,5.0,3300.0,6.0,2.0,1.0,6.0,0,40.0,40.0
38.0,2.0,16.0,5.0,5240.0,6.0,13.0,2.0,5.0,0,40.0,40.0
28.0,1.0,21.0,5.0,4220.0,6.0,2.0,1.0,6.0,0,4.0,4.0
54.0,1.0,19.0,1.0,5240.0,6.0,5.0,2.0,1.0,0,40.0,40.0
40.0,1.0,21.0,1.0,4850.0,42.0,0.0,1.0,1.0,1,40.0,40.0
36.0,1.0,15.0,5.0,8800.0,303.0,0.0,2.0,1.0,0,40.0,40.0
31.0,3.0,16.0,1.0,3870.0,523.0,0.0,1.0,7.0,0,40.0,40.0
23.0,1.0,16.0,5.0,6050.0,6.0,0.0,2.0,1.0,0,40.0,40.0
60.0,6.0,17.0,1.0,4020.0,223.0,0.0,1.0,6.0,0,40.0,40.0
50.0,6.0,18.0,1.0,4920.0,36.0,0.0,1.0,1.0,0,30.0,30.0
51.0,6.0,1.0,1.0,4230.0,248.0,1.0,2.0,1.0,0,50.0,50.0
60.0,1.0,21.0,1.0,830.0,6.0,1.0,1.0,1.0,1,40.0,40.0
63.0,6.0,18.0,1.0,1005.0,37.0,0.0,1.0,1.0,0,20.0,20.0
60.0,1.0,19.0,2.0,5740.0,36.0,0.0,2.0,1.0,0,21.0,21.0
39.0,1.0,22.0,1.0,20.0,6.0,0.0,2.0,1.0,1,55.0,55.0
57.0,1.0,20.0,4.0,220.0,303.0,0.0,1.0,1.0,0,80.0,80.0
51.0,1.0,21.0,1.0,800.0,48.0,1.0,2.0,1.0,1,40.0,40.0
50.0,6.0,18.0,1.0,4330.0,41.0,0.0,2.0,1.0,0,45.0,45.0
48.0,6.0,12.0,5.0,4600.0,303.0,0.0,2.0,1.0,0,30.0,30.0
33.0,1.0,21.0,1.0,4920.0,47.0,0.0,1.0,1.0,1,50.0,50.0
61.0,1.0,16.0,5.0,3603.0,312.0,0.0,1.0,1.0,0,35.0,35.0
65.0,1.0,21.0,1.0,2180.0,18.0,0.0,1.0,1.0,1,40.0,40.0
61.0,1.0,18.0,1.0,5240.0,303.0,0.0,2.0,1.0,0,20.0,20.0
27.0,1.0,20.0,1.0,7210.0,6.0,9.0,1.0,1.0,0,40.0,40.0
64.0,2.0,18.0,2.0,2060.0,53.0,0.0,2.0,1.0,1,40.0,40.0
53.0,6.0,17.0,5.0,5860.0,6.0,0.0,2.0,1.0,1,40.0,40.0
59.0,1.0,17.0,5.0,220.0,6.0,0.0,1.0,1.0,1,40.0,40.0
64.0,1.0,20.0,1.0,136.0,6.0,1.0,1.0,1.0,1,40.0,40.0
51.0,1.0,19.0,1.0,5120.0,6.0,0.0,2.0,2.0,0,40.0,40.0
69.0,6.0,16.0,1.0,4600.0,207.0,6.0,2.0,6.0,1,40.0,40.0
53.0,4.0,17.0,1.0,2634.0,6.0,1.0,2.0,1.0,0,40.0,40.0
47.0,1.0,20.0,1.0,3255.0,243.0,1.0,2.0,1.0,1,36.0,36.0
20.0,1.0,19.0,5.0,9645.0,247.0,2.0,2.0,6.0,0,15.0,15.0
20.0,5.0,16.0,5.0,9825.0,48.0,17.0,1.0,1.0,0,60.0,60.0
48.0,7.0,23.0,1.0,3090.0,25.0,1.0,1.0,6.0,1,60.0,60.0
54.0,2.0,11.0,1.0,3603.0,303.0,1.0,1.0,1.0,0,36.0,36.0
42.0,3.0,21.0,1.0,3255.0,233.0,9.0,2.0,6.0,1,32.0,32.0
49.0,2.0,19.0,1.0,230.0,360.0,1.0,2.0,1.0,1,40.0,40.0
43.0,3.0,21.0,1.0,6230.0,6.0,1.0,1.0,9.0,1,40.0,40.0
44.0,6.0,19.0,5.0,6260.0,39.0,0.0,1.0,1.0,1,40.0,40.0
25.0,1.0,23.0,1.0,3160.0,6.0,1.0,2.0,1.0,1,45.0,45.0
29.0,2.0,22.0,5.0,2014.0,53.0,13.0,2.0,1.0,0,40.0,40.0
70.0,6.0,21.0,3.0,1305.0,6.0,0.0,1.0,1.0,1,20.0,20.0
44.0,3.0,21.0,1.0,3700.0,6.0,15.0,1.0,2.0,1,40.0,40.0
30.0,1.0,18.0,1.0,4220.0,6.0,2.0,1.0,8.0,0,40.0,40.0
31.0,1.0,19.0,1.0,4720.0,6.0,1.0,1.0,1.0,0,40.0,40.0
30.0,6.0,16.0,5.0,4230.0,6.0,16.0,2.0,1.0,0,40.0,40.0
24.0,1.0,19.0,5.0,4900.0,6.0,2.0,2.0,1.0,0,15.0,15.0
33.0,1.0,21.0,1.0,1650.0,247.0,1.0,2.0,6.0,1,36.0,36.0
56.0,1.0,18.0,1.0,1220.0,6.0,0.0,1.0,1.0,0,40.0,40.0
37.0,3.0,22.0,1.0,3870.0,233.0,1.0,2.0,6.0,1,40.0,40.0
52.0,6.0,1.0,3.0,6260.0,303.0,0.0,1.0,8.0,0,55.0,55.0
62.0,1.0,16.0,5.0,3300.0,6.0,0.0,1.0,2.0,1,40.0,40.0
28.0,1.0,21.0,5.0,1032.0,55.0,12.0,1.0,1.0,1,45.0,45.0
60.0,3.0,21.0,1.0,5860.0,6.0,1.0,2.0,1.0,1,40.0,40.0
61.0,1.0,21.0,1.0,4760.0,17.0,1.0,1.0,1.0,0,40.0,40.0
22.0,1.0,11.0,5.0,6260.0,313.0,10.0,1.0,1.0,0,40.0,40.0
35.0,6.0,20.0,1.0,4230.0,6.0,0.0,2.0,1.0,0,40.0,40.0
60.0,1.0,1.0,1.0,7750.0,247.0,1.0,2.0,6.0,0,40.0,40.0
23.0,1.0,16.0,1.0,3930.0,414.0,0.0,1.0,1.0,0,39.0,39.0
28.0,6.0,19.0,1.0,4510.0,41.0,1.0,2.0,1.0,0,50.0,50.0
19.0,3.0,19.0,5.0,2310.0,6.0,2.0,2.0,8.0,0,30.0,30.0
27.0,5.0,19.0,1.0,4500.0,36.0,1.0,2.0,1.0,0,40.0,40.0
35.0,1.0,21.0,1.0,710.0,240.0,0.0,1.0,6.0,1,40.0,40.0
35.0,1.0,20.0,5.0,1555.0,32.0,0.0,1.0,6.0,1,50.0,50.0
49.0,1.0,21.0,1.0,120.0,6.0,1.0,2.0,1.0,1,40.0,40.0
36.0,1.0,16.0,5.0,6355.0,6.0,2.0,1.0,8.0,1,40.0,40.0
35.0,1.0,21.0,5.0,410.0,6.0,0.0,2.0,1.0,0,50.0,50.0
26.0,3.0,18.0,5.0,4220.0,6.0,2.0,1.0,1.0,0,40.0,40.0
54.0,1.0,16.0,1.0,9122.0,134.0,0.0,2.0,1.0,0,40.0,40.0
44.0,6.0,14.0,1.0,7540.0,313.0,1.0,1.0,1.0,0,8.0,8.0
31.0,1.0,18.0,1.0,1108.0,6.0,1.0,1.0,1.0,0,40.0,40.0
41.0,1.0,15.0,4.0,3602.0,6.0,0.0,2.0,1.0,0,12.0,12.0
53.0,3.0,20.0,2.0,4330.0,6.0,0.0,1.0,1.0,1,40.0,40.0
64.0,1.0,19.0,3.0,5600.0,22.0,8.0,2.0,2.0,1,40.0,40.0
36.0,1.0,21.0,1.0,410.0,206.0,0.0,1.0,6.0,1,60.0,60.0
39.0,1.0,21.0,1.0,6050.0,303.0,0.0,1.0,1.0,0,45.0,45.0
19.0,1.0,18.0,5.0,9600.0,6.0,4.0,1.0,1.0,0,32.0,32.0
50.0,1.0,20.0,5.0,6355.0,22.0,4.0,1.0,2.0,1,40.0,40.0
35.0,1.0,24.0,5.0,1610.0,6.0,0.0,1.0,1.0,1,40.0,40.0
32.0,3.0,20.0,3.0,1555.0,6.0,0.0,1.0,8.0,1,40.0,40.0
51.0,1.0,19.0,1.0,4760.0,6.0,0.0,1.0,1.0,0,45.0,45.0
50.0,1.0,19.0,1.0,520.0,6.0,1.0,2.0,8.0,1,40.0,40.0
76.0,7.0,21.0,3.0,4760.0,4.0,0.0,2.0,1.0,0,45.0,45.0
52.0,1.0,7.0,1.0,8800.0,312.0,1.0,2.0,1.0,0,60.0,60.0
64.0,2.0,22.0,1.0,2002.0,42.0,0.0,1.0,1.0,1,40.0,40.0
20.0,1.0,14.0,5.0,6600.0,312.0,2.0,1.0,8.0,0,30.0,30.0
47.0,7.0,21.0,5.0,2600.0,6.0,13.0,1.0,1.0,0,40.0,40.0
39.0,1.0,22.0,1.0,5000.0,29.0,1.0,1.0,9.0,1,40.0,40.0
22.0,5.0,19.0,5.0,9830.0,6.0,11.0,1.0,8.0,0,29.0,29.0
85.0,4.0,24.0,2.0,2205.0,40.0,0.0,1.0,1.0,1,30.0,30.0
55.0,1.0,11.0,1.0,4220.0,6.0,0.0,1.0,1.0,0,40.0,40.0
36.0,4.0,22.0,1.0,2555.0,303.0,0.0,2.0,1.0,1,45.0,45.0
56.0,4.0,19.0,1.0,5120.0,15.0,1.0,1.0,1.0,1,40.0,40.0
35.0,1.0,22.0,1.0,136.0,6.0,0.0,2.0,1.0,1,45.0,45.0
43.0,3.0,18.0,5.0,705.0,6.0,0.0,2.0,1.0,1,40.0,40.0
50.0,1.0,20.0,1.0,3602.0,233.0,17.0,2.0,6.0,0,40.0,40.0
63.0,1.0,21.0,1.0,2905.0,6.0,0.0,1.0,1.0,1,60.0,60.0
32.0,6.0,22.0,1.0,2634.0,6.0,1.0,2.0,1.0,0,17.0,17.0
57.0,1.0,22.0,1.0,440.0,6.0,0.0,1.0,1.0,1,40.0,40.0
51.0,1.0,20.0,3.0,4700.0,4.0,2.0,2.0,1.0,0,41.0,41.0
41.0,1.0,21.0,1.0,300.0,6.0,1.0,1.0,1.0,1,40.0,40.0
56.0,1.0,21.0,1.0,5240.0,12.0,0.0,2.0,1.0,0,40.0,40.0
36.0,2.0,22.0,5.0,4600.0,6.0,2.0,2.0,6.0,1,40.0,40.0
48.0,6.0,15.0,1.0,6230.0,247.0,0.0,1.0,6.0,0,48.0,48.0
23.0,3.0,19.0,5.0,2545.0,6.0,2.0,2.0,8.0,0,19.0,19.0
48.0,3.0,19.0,1.0,2545.0,212.0,0.0,2.0,1.0,0,17.0,17.0
49.0,1.0,18.0,1.0,5610.0,6.0,0.0,2.0,1.0,0,40.0,40.0
19.0,1.0,16.0,5.0,845.0,6.0,2.0,1.0,1.0,0,40.0,40.0
41.0,1.0,21.0,1.0,1021.0,6.0,1.0,1.0,1.0,1,40.0,40.0
66.0,1.0,21.0,3.0,4850.0,6.0,0.0,1.0,1.0,1,40.0,40.0
52.0,1.0,16.0,3.0,4760.0,303.0,0.0,2.0,1.0,0,40.0,40.0
50.0,2.0,21.0,1.0,1010.0,247.0,0.0,1.0,6.0,1,40.0,40.0
53.0,6.0,19.0,1.0,410.0,6.0,1.0,2.0,1.0,1,45.0,45.0
32.0,6.0,23.0,1.0,4920.0,17.0,1.0,1.0,1.0,1,60.0,60.0
77.0,1.0,21.0,1.0,800.0,6.0,0.0,1.0,9.0,0,32.0,32.0
62.0,1.0,20.0,1.0,150.0,53.0,1.0,2.0,2.0,1,40.0,40.0
49.0,1.0,16.0,3.0,3421.0,6.0,13.0,2.0,1.0,1,55.0,55.0
20.0,1.0,19.0,5.0,2722.0,6.0,2.0,2.0,9.0,0,4.0,4.0
19.0,1.0,16.0,5.0,4720.0,6.0,15.0,1.0,8.0,0,40.0,40.0
28.0,1.0,16.0,1.0,440.0,303.0,0.0,1.0,1.0,0,54.0,54.0
58.0,1.0,1.0,1.0,8800.0,303.0,0.0,2.0,1.0,0,30.0,30.0
57.0,1.0,16.0,1.0,4700.0,303.0,0.0,1.0,8.0,1,40.0,40.0
55.0,7.0,21.0,1.0,10.0,53.0,1.0,2.0,1.0,0,40.0,40.0
27.0,1.0,21.0,1.0,4040.0,12.0,0.0,2.0,1.0,0,40.0,40.0
42.0,1.0,16.0,1.0,5240.0,6.0,1.0,2.0,8.0,0,40.0,40.0
60.0,3.0,19.0,1.0,3801.0,6.0,0.0,2.0,1.0,0,42.0,42.0
27.0,4.0,22.0,5.0,2310.0,6.0,12.0,2.0,8.0,1,40.0,40.0
40.0,1.0,12.0,1.0,6240.0,303.0,1.0,1.0,8.0,1,40.0,40.0
68.0,4.0,16.0,5.0,1108.0,6.0,0.0,2.0,2.0,0,40.0,40.0
71.0,7.0,21.0,1.0,4700.0,25.0,0.0,1.0,1.0,1,30.0,30.0
59.0,1.0,19.0,5.0,4820.0,26.0,0.0,1.0,1.0,0,45.0,45.0
58.0,4.0,20.0,3.0,8950.0,303.0,16.0,1.0,8.0,0,38.0,38.0
75.0,1.0,21.0,1.0,1360.0,25.0,0.0,1.0,1.0,1,34.0,34.0
36.0,3.0,16.0,5.0,2545.0,6.0,2.0,2.0,8.0,0,18.0,18.0
62.0,6.0,21.0,1.0,800.0,6.0,1.0,2.0,1.0,1,30.0,30.0
70.0,4.0,21.0,1.0,2320.0,6.0,0.0,2.0,1.0,1,20.0,20.0
37.0,1.0,19.0,1.0,5740.0,13.0,1.0,2.0,6.0,1,38.0,38.0
40.0,2.0,19.0,1.0,1460.0,365.0,0.0,1.0,1.0,1,40.0,40.0
27.0,1.0,20.0,1.0,5740.0,6.0,0.0,2.0,9.0,0,24.0,24.0
61.0,6.0,13.0,1.0,6410.0,6.0,1.0,1.0,1.0,1,40.0,40.0
61.0,6.0,21.0,3.0,710.0,27.0,0.0,2.0,1.0,1,40.0,40.0
26.0,5.0,16.0,5.0,9825.0,22.0,17.0,1.0,1.0,0,45.0,45.0
46.0,1.0,10.0,5.0,4760.0,303.0,5.0,1.0,8.0,0,40.0,40.0
64.0,6.0,19.0,3.0,5940.0,6.0,0.0,2.0,1.0,1,30.0,30.0
54.0,1.0,21.0,3.0,4760.0,303.0,0.0,2.0,8.0,1,10.0,10.0
44.0,1.0,16.0,1.0,4521.0,247.0,1.0,2.0,6.0,0,30.0,30.0
33.0,2.0,21.0,5.0,2040.0,35.0,0.0,1.0,1.0,0,40.0,40.0
49.0,1.0,16.0,5.0,6260.0,139.0,2.0,1.0,8.0,0,40.0,40.0
27.0,1.0,19.0,5.0,9620.0,6.0,5.0,2.0,1.0,0,40.0,40.0
38.0,6.0,21.0,5.0,2310.0,6.0,12.0,1.0,1.0,0,40.0,40.0
22.0,1.0,18.0,5.0,9645.0,6.0,2.0,2.0,1.0,0,32.0,32.0
29.0,1.0,19.0,1.0,6355.0,41.0,1.0,1.0,1.0,0,40.0,40.0
24.0,1.0,21.0,5.0,5240.0,303.0,0.0,2.0,8.0,0,40.0,40.0
54.0,6.0,16.0,1.0,3602.0,6.0,1.0,2.0,1.0,0,60.0,60.0
42.0,3.0,19.0,1.0,3602.0,314.0,0.0,2.0,8.0,0,13.0,13.0
57.0,1.0,21.0,1.0,440.0,6.0,0.0,1.0,1.0,1,40.0,40.0
55.0,1.0,18.0,1.0,5600.0,6.0,1.0,1.0,1.0,1,52.0,52.0
23.0,1.0,18.0,5.0,4055.0,303.0,2.0,1.0,1.0,0,30.0,30.0
43.0,1.0,13.0,1.0,6260.0,303.0,1.0,1.0,9.0,1,40.0,40.0
71.0,1.0,19.0,1.0,9130.0,11.0,0.0,1.0,1.0,0,24.0,24.0
62.0,1.0,16.0,1.0,2640.0,6.0,1.0,1.0,1.0,1,40.0,40.0
53.0,3.0,21.0,1.0,2545.0,303.0,0.0,2.0,8.0,0,20.0,20.0
51.0,1.0,20.0,3.0,1970.0,6.0,0.0,1.0,3.0,1,40.0,40.0
58.0,3.0,19.0,1.0,3602.0,158.0,1.0,1.0,1.0,0,99.0,99.0
54.0,1.0,11.0,5.0,4000.0,207.0,0.0,1.0,6.0,0,40.0,40.0
33.0,6.0,19.0,1.0,10.0,247.0,1.0,2.0,6.0,1,45.0,45.0
37.0,1.0,22.0,1.0,1410.0,207.0,0.0,1.0,6.0,1,42.0,42.0
45.0,2.0,22.0,5.0,2861.0,373.0,0.0,2.0,1.0,1,36.0,36.0
48.0,7.0,21.0,1.0,2910.0,39.0,0.0,1.0,1.0,1,50.0,50.0
21.0,1.0,19.0,5.0,4720.0,6.0,2.0,1.0,1.0,0,15.0,15.0
37.0,7.0,18.0,5.0,2710.0,6.0,0.0,2.0,1.0,1,72.0,72.0
55.0,1.0,22.0,1.0,1430.0,224.0,0.0,1.0,1.0,1,40.0,40.0
56.0,1.0,16.0,1.0,4251.0,303.0,0.0,1.0,8.0,0,40.0,40.0
23.0,5.0,19.0,1.0,9310.0,48.0,17.0,1.0,1.0,0,81.0,81.0
32.0,1.0,19.0,3.0,4600.0,6.0,0.0,2.0,1.0,0,37.0,37.0
50.0,1.0,12.0,1.0,4220.0,303.0,0.0,1.0,1.0,0,40.0,40.0
39.0,1.0,17.0,1.0,4230.0,512.0,1.0,2.0,7.0,0,40.0,40.0
35.0,1.0,16.0,1.0,410.0,303.0,0.0,2.0,8.0,0,40.0,40.0
48.0,1.0,16.0,4.0,136.0,312.0,0.0,2.0,1.0,1,40.0,40.0
41.0,2.0,22.0,1.0,1650.0,8.0,0.0,1.0,1.0,0,40.0,40.0
70.0,1.0,22.0,1.0,4700.0,209.0,0.0,1.0,6.0,0,20.0,20.0
36.0,3.0,21.0,5.0,7040.0,6.0,0.0,1.0,9.0,1,50.0,50.0
44.0,1.0,10.0,5.0,9050.0,247.0,13.0,2.0,6.0,0,60.0,60.0
30.0,1.0,23.0,1.0,2100.0,6.0,1.0,2.0,8.0,1,80.0,80.0
22.0,1.0,18.0,5.0,6230.0,6.0,2.0,1.0,1.0,0,40.0,40.0
35.0,1.0,18.0,1.0,110.0,6.0,1.0,1.0,1.0,1,50.0,50.0
29.0,2.0,21.0,5.0,630.0,38.0,13.0,2.0,2.0,0,40.0,40.0
32.0,1.0,16.0,5.0,5240.0,6.0,0.0,2.0,1.0,0,40.0,40.0
65.0,1.0,19.0,2.0,960.0,4.0,0.0,2.0,1.0,1,50.0,50.0
53.0,1.0,16.0,1.0,7700.0,6.0,1.0,1.0,1.0,1,40.0,40.0
30.0,7.0,21.0,1.0,5120.0,6.0,1.0,2.0,1.0,0,3.0,3.0
53.0,4.0,22.0,5.0,230.0,6.0,0.0,2.0,1.0,1,40.0,40.0
43.0,1.0,23.0,1.0,3255.0,6.0,1.0,2.0,1.0,1,28.0,28.0
32.0,1.0,19.0,5.0,3401.0,6.0,13.0,1.0,8.0,0,60.0,60.0
61.0,1.0,18.0,2.0,4850.0,6.0,0.0,1.0,1.0,0,40.0,40.0
34.0,1.0,18.0,1.0,1430.0,6.0,1.0,1.0,1.0,0,32.0,32.0
19.0,1.0,19.0,5.0,4055.0,6.0,17.0,2.0,1.0,0,14.0,14.0
49.0,7.0,21.0,3.0,1410.0,6.0,0.0,1.0,6.0,0,18.0,18.0
30.0,1.0,21.0,5.0,230.0,17.0,12.0,2.0,1.0,0,20.0,20.0
53.0,1.0,21.0,1.0,800.0,8.0,0.0,2.0,1.0,1,40.0,40.0
19.0,1.0,20.0,5.0,4110.0,6.0,2.0,2.0,2.0,0,25.0,25.0
52.0,1.0,20.0,1.0,4760.0,6.0,0.0,1.0,8.0,1,40.0,40.0
28.0,1.0,11.0,5.0,7340.0,303.0,15.0,1.0,1.0,0,40.0,40.0
30.0,6.0,14.0,1.0,9610.0,6.0,16.0,1.0,8.0,0,40.0,40.0
61.0,1.0,23.0,1.0,3255.0,315.0,8.0,2.0,8.0,0,40.0,40.0
59.0,2.0,10.0,3.0,4230.0,233.0,13.0,2.0,6.0,0,40.0,40.0
58.0,1.0,1.0,3.0,7750.0,242.0,10.0,2.0,6.0,0,40.0,40.0
21.0,2.0,19.0,5.0,5740.0,48.0,12.0,2.0,6.0,0,8.0,8.0
