nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5,0,0.84, 0.18, 0.08, 0.21, 0.21,  31.08444619178772
5,1,0.84, 0.18, 0.08, 0.2, 0.2,  6.2488441467285165
5,2,0.84, 0.19, 0.08, 0.2, 0.2,  6.0776567459106445
5,3,0.84, 0.19, 0.08, 0.21, 0.21,  6.224363803863525
5,4,0.84, 0.18, 0.08, 0.19, 0.19,  18.550477981567383
5,5,0.84, 0.19, 0.08, 0.19, 0.19,  24.48165988922119
5,6,0.84, 0.18, 0.08, 0.18, 0.18,  24.877909660339355
5,7,0.84, 0.18, 0.08, 0.19, 0.19,  25.020531177520752
5,8,0.84, 0.18, 0.08, 0.19, 0.19,  18.63904094696045
5,9,0.84, 0.18, 0.08, 0.18, 0.18,  18.822077989578247
5,10,0.84, 0.18, 0.08, 0.16, 0.16,  18.717703819274902
5,11,0.84, 0.19, 0.08, 0.2, 0.2,  25.13609027862549
5,12,0.84, 0.19, 0.08, 0.19, 0.19,  31.442286491394043
5,13,0.84, 0.18, 0.08, 0.17, 0.17,  24.699238061904907
5,14,0.84, 0.18, 0.08, 0.18, 0.18,  31.316094398498535
5,15,0.84, 0.18, 0.08, 0.18, 0.18,  31.075252771377563
5,16,0.84, 0.18, 0.08, 0.19, 0.19,  30.66939401626587
5,17,0.84, 0.19, 0.08, 0.2, 0.2,  30.811094999313354
5,18,0.84, 0.18, 0.08, 0.19, 0.19,  31.88730502128601
5,19,0.84, 0.18, 0.08, 0.18, 0.18,  30.720680475234985
5,20,0.84, 0.18, 0.08, 0.19, 0.19,  31.738375663757324
5,21,0.84, 0.19, 0.08, 0.19, 0.19,  31.026427030563354
5,22,0.84, 0.18, 0.08, 0.17, 0.17,  30.743640899658203
5,23,0.84, 0.18, 0.08, 0.19, 0.19,  31.28698205947876
5,24,0.84, 0.18, 0.08, 0.2, 0.2,  30.37739109992981
5,25,0.84, 0.18, 0.08, 0.18, 0.18,  31.17554235458374
5,26,0.84, 0.18, 0.08, 0.19, 0.19,  31.93992257118225
5,27,0.84, 0.19, 0.08, 0.19, 0.19,  31.058306455612183
5,28,0.84, 0.18, 0.08, 0.19, 0.19,  31.559086799621582
5,29,0.84, 0.18, 0.08, 0.17, 0.17,  30.484495162963867
5,30,0.84, 0.18, 0.08, 0.18, 0.18,  31.58274555206299
5,31,0.84, 0.18, 0.08, 0.17, 0.17,  31.646592378616333
5,32,0.84, 0.18, 0.08, 0.19, 0.19,  31.385661363601685
5,33,0.84, 0.18, 0.08, 0.18, 0.18,  31.742040634155273
5,34,0.84, 0.18, 0.08, 0.17, 0.17,  32.00801753997803
5,35,0.84, 0.18, 0.08, 0.16, 0.16,  30.96111822128296
5,36,0.84, 0.19, 0.08, 0.19, 0.19,  31.399247646331787
5,37,0.84, 0.18, 0.08, 0.18, 0.18,  31.252318382263184
5,38,0.84, 0.18, 0.08, 0.19, 0.19,  31.42467212677002
5,39,0.84, 0.18, 0.08, 0.19, 0.19,  31.153974771499634
5,40,0.84, 0.18, 0.08, 0.19, 0.19,  31.632359504699707
5,41,0.84, 0.19, 0.08, 0.19, 0.19,  31.054178714752197
5,42,0.84, 0.18, 0.08, 0.19, 0.19,  31.913609504699707
5,43,0.84, 0.18, 0.08, 0.18, 0.18,  31.027595043182373
5,44,0.83, 0.18, 0.08, 0.17, 0.17,  30.67188310623169
5,45,0.84, 0.19, 0.08, 0.2, 0.2,  31.427276611328125
5,46,0.84, 0.19, 0.08, 0.19, 0.19,  31.981988668441772
5,47,0.84, 0.19, 0.08, 0.19, 0.19,  31.94055438041687
5,48,0.84, 0.18, 0.08, 0.19, 0.19,  32.13165473937988
5,49,0.84, 0.18, 0.08, 0.19, 0.19,  31.293816089630127
5,50,0.84, 0.18, 0.08, 0.19, 0.19,  31.297338247299194
5,51,0.84, 0.18, 0.08, 0.19, 0.19,  32.462289571762085
5,52,0.84, 0.18, 0.08, 0.2, 0.2,  31.1370689868927
5,53,0.84, 0.18, 0.08, 0.19, 0.19,  32.01506328582764
5,54,0.84, 0.18, 0.08, 0.19, 0.19,  31.705640077590942
5,55,0.84, 0.18, 0.08, 0.18, 0.18,  31.27178406715393
5,56,0.84, 0.18, 0.08, 0.18, 0.18,  32.12154173851013
5,57,0.84, 0.18, 0.08, 0.19, 0.19,  31.158860683441162
5,58,0.84, 0.18, 0.08, 0.16, 0.16,  31.94923162460327
5,59,0.84, 0.18, 0.08, 0.19, 0.19,  31.82057285308838
5,60,0.84, 0.18, 0.08, 0.19, 0.19,  30.977372407913208
5,61,0.84, 0.18, 0.08, 0.18, 0.18,  31.996504068374634
5,62,0.84, 0.18, 0.08, 0.19, 0.19,  31.378299236297607
5,63,0.84, 0.18, 0.08, 0.18, 0.18,  31.591216802597046
5,64,0.84, 0.18, 0.08, 0.19, 0.19,  31.441859483718872
5,65,0.84, 0.18, 0.08, 0.17, 0.17,  32.771968364715576
5,66,0.84, 0.18, 0.08, 0.17, 0.17,  31.14925456047058
5,67,0.84, 0.18, 0.08, 0.19, 0.19,  31.810287714004517
5,68,0.84, 0.18, 0.08, 0.18, 0.18,  31.360742330551147
5,69,0.84, 0.18, 0.08, 0.18, 0.18,  31.06208300590515
5,70,0.84, 0.19, 0.08, 0.2, 0.2,  30.595884561538696
5,71,0.84, 0.18, 0.08, 0.19, 0.19,  30.500144958496094
5,72,0.84, 0.18, 0.08, 0.17, 0.17,  30.85817861557007
5,73,0.84, 0.18, 0.08, 0.18, 0.18,  30.604522466659546
5,74,0.84, 0.18, 0.08, 0.2, 0.2,  31.235669374465942
5,75,0.84, 0.18, 0.08, 0.19, 0.19,  32.45003128051758
5,76,0.84, 0.18, 0.08, 0.18, 0.18,  31.840758562088013
5,77,0.84, 0.18, 0.08, 0.19, 0.19,  32.23687291145325
5,78,0.84, 0.18, 0.08, 0.19, 0.19,  31.255662441253662
5,79,0.84, 0.18, 0.08, 0.18, 0.18,  31.13699769973755
5,80,0.84, 0.18, 0.08, 0.18, 0.18,  30.85235333442688
5,81,0.84, 0.18, 0.08, 0.18, 0.18,  31.282644748687744
5,82,0.84, 0.18, 0.08, 0.19, 0.19,  30.974445343017578
5,83,0.84, 0.18, 0.08, 0.2, 0.2,  30.850271224975586
5,84,0.84, 0.18, 0.08, 0.19, 0.19,  31.69482445716858
5,85,0.84, 0.18, 0.08, 0.17, 0.17,  29.57215714454651
5,86,0.84, 0.18, 0.08, 0.17, 0.17,  30.777958631515503
5,87,0.84, 0.18, 0.08, 0.18, 0.18,  30.33584713935852
5,88,0.84, 0.18, 0.08, 0.19, 0.19,  31.039111852645874
5,89,0.84, 0.18, 0.08, 0.18, 0.18,  31.087106943130493
5,90,0.84, 0.18, 0.08, 0.17, 0.17,  31.06671142578125
5,91,0.84, 0.18, 0.08, 0.19, 0.19,  31.116965293884277
5,92,0.84, 0.18, 0.08, 0.18, 0.18,  31.05260419845581
5,93,0.84, 0.18, 0.08, 0.18, 0.18,  31.328568696975708
5,94,0.84, 0.18, 0.08, 0.19, 0.19,  30.66894245147705
5,95,0.84, 0.18, 0.08, 0.2, 0.2,  30.515363454818726
5,96,0.84, 0.18, 0.08, 0.19, 0.19,  30.558634757995605
5,97,0.84, 0.18, 0.08, 0.18, 0.18,  31.804179430007935
5,98,0.84, 0.18, 0.08, 0.16, 0.16,  31.652907609939575
5,99,0.84, 0.18, 0.08, 0.18, 0.18,  30.957024812698364
5,100,0.84, 0.18, 0.08, 0.19, 0.19,  30.298551082611084
5,101,0.84, 0.19, 0.08, 0.2, 0.2,  31.321016788482666
5,102,0.84, 0.18, 0.08, 0.18, 0.18,  30.97565770149231
5,103,0.84, 0.18, 0.08, 0.19, 0.19,  30.600274324417114
5,104,0.84, 0.18, 0.08, 0.19, 0.19,  30.924182415008545
5,105,0.84, 0.18, 0.08, 0.18, 0.18,  30.83954429626465
5,106,0.84, 0.18, 0.08, 0.18, 0.18,  30.930196046829224
5,107,0.84, 0.18, 0.08, 0.19, 0.19,  31.116630792617798
5,108,0.84, 0.18, 0.08, 0.19, 0.19,  31.198806762695312
5,109,0.84, 0.18, 0.08, 0.18, 0.18,  30.45210289955139
5,110,0.84, 0.18, 0.08, 0.19, 0.19,  31.818743467330933
5,111,0.84, 0.18, 0.08, 0.19, 0.19,  30.832191705703735
5,112,0.84, 0.18, 0.08, 0.19, 0.19,  31.108458518981934
5,113,0.84, 0.18, 0.08, 0.17, 0.17,  30.90269160270691
5,114,0.84, 0.18, 0.08, 0.18, 0.18,  30.890547037124634
5,115,0.84, 0.19, 0.08, 0.2, 0.2,  31.218926429748535
5,116,0.84, 0.18, 0.08, 0.19, 0.19,  30.909449577331543
5,117,0.84, 0.19, 0.08, 0.19, 0.19,  31.055885553359985
5,118,0.84, 0.19, 0.08, 0.2, 0.2,  30.37303137779236
5,119,0.84, 0.18, 0.08, 0.19, 0.19,  30.780712127685547
5,120,0.84, 0.18, 0.08, 0.18, 0.18,  30.514759063720703
5,121,0.84, 0.19, 0.08, 0.2, 0.2,  30.966439247131348
5,122,0.84, 0.18, 0.08, 0.18, 0.18,  30.792752742767334
5,123,0.84, 0.18, 0.08, 0.19, 0.19,  30.70086908340454
5,124,0.84, 0.18, 0.08, 0.17, 0.17,  30.658660888671875
5,125,0.84, 0.18, 0.08, 0.19, 0.19,  30.80959177017212
5,126,0.84, 0.18, 0.08, 0.19, 0.19,  31.432602167129517
5,127,0.84, 0.18, 0.08, 0.18, 0.18,  31.084200859069824
5,128,0.84, 0.18, 0.08, 0.19, 0.19,  31.26414203643799
5,129,0.84, 0.18, 0.08, 0.19, 0.19,  30.45648431777954
