nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5,0,0.81, 0.05, 0.02, 0.11, 0.11,  18.6381573677063
5,1,0.81, 0.04, 0.02, 0.1, 0.1,  3.634885549545288
5,2,0.81, 0.05, 0.02, 0.12, 0.12,  7.733883380889893
5,3,0.81, 0.04, 0.01, 0.11, 0.11,  11.566248178482056
5,4,0.81, 0.05, 0.02, 0.12, 0.12,  11.151822090148926
5,5,0.81, 0.04, 0.02, 0.11, 0.11,  14.99572205543518
5,6,0.81, 0.05, 0.02, 0.12, 0.12,  19.094054698944092
5,7,0.81, 0.04, 0.02, 0.11, 0.11,  14.961020231246948
5,8,0.8, 0.05, 0.02, 0.11, 0.11,  11.264645338058472
5,9,0.81, 0.04, 0.02, 0.1, 0.1,  15.564565658569336
5,10,0.8, 0.04, 0.02, 0.1, 0.1,  15.34136438369751
5,11,0.81, 0.04, 0.02, 0.11, 0.11,  19.30801224708557
5,12,0.81, 0.04, 0.01, 0.11, 0.11,  15.658826351165771
5,13,0.8, 0.04, 0.02, 0.11, 0.11,  18.921175718307495
5,14,0.81, 0.05, 0.02, 0.12, 0.12,  19.078870058059692
5,15,0.81, 0.05, 0.02, 0.11, 0.11,  19.402276277542118
5,16,0.8, 0.05, 0.02, 0.11, 0.11,  19.366894245147705
5,17,0.81, 0.05, 0.02, 0.12, 0.12,  18.869425058364868
5,18,0.81, 0.04, 0.02, 0.11, 0.11,  19.116453647613525
5,19,0.81, 0.04, 0.02, 0.11, 0.11,  18.83743143081665
5,20,0.81, 0.05, 0.02, 0.12, 0.12,  19.073045253753666
5,21,0.8, 0.04, 0.01, 0.11, 0.11,  18.89456057548523
5,22,0.81, 0.04, 0.02, 0.1, 0.1,  19.118106603622437
5,23,0.8, 0.05, 0.02, 0.12, 0.12,  19.52033519744873
5,24,0.8, 0.04, 0.02, 0.1, 0.1,  19.059335708618164
5,25,0.81, 0.04, 0.02, 0.1, 0.1,  19.515476942062378
5,26,0.8, 0.05, 0.02, 0.11, 0.11,  19.0586040019989
5,27,0.81, 0.04, 0.01, 0.1, 0.1,  19.176234245300293
5,28,0.81, 0.05, 0.02, 0.13, 0.13,  19.49234127998352
5,29,0.81, 0.05, 0.02, 0.11, 0.11,  18.935073852539062
5,30,0.81, 0.04, 0.01, 0.11, 0.11,  19.71694016456604
5,31,0.81, 0.05, 0.02, 0.11, 0.11,  19.334417581558228
5,32,0.81, 0.04, 0.01, 0.11, 0.11,  19.492619276046753
5,33,0.8, 0.05, 0.02, 0.13, 0.13,  19.062769412994385
5,34,0.81, 0.05, 0.02, 0.12, 0.12,  19.453075885772705
5,35,0.81, 0.04, 0.02, 0.1, 0.1,  20.089985609054562
5,36,0.81, 0.05, 0.02, 0.12, 0.12,  19.12811255455017
5,37,0.8, 0.05, 0.02, 0.11, 0.11,  19.135453939437866
5,38,0.81, 0.05, 0.02, 0.12, 0.12,  19.63337755203247
5,39,0.81, 0.05, 0.02, 0.12, 0.12,  18.826759815216064
5,40,0.8, 0.04, 0.01, 0.11, 0.11,  18.741114616394043
5,41,0.81, 0.04, 0.02, 0.11, 0.11,  19.328918933868408
5,42,0.81, 0.05, 0.02, 0.11, 0.11,  19.049026250839233
5,43,0.81, 0.04, 0.01, 0.1, 0.1,  19.282156229019165
5,44,0.81, 0.05, 0.02, 0.11, 0.11,  19.162182807922363
5,45,0.81, 0.04, 0.01, 0.12, 0.12,  19.08751606941223
5,46,0.81, 0.04, 0.01, 0.11, 0.11,  19.266876459121704
5,47,0.81, 0.04, 0.02, 0.11, 0.11,  19.452470779418945
5,48,0.81, 0.05, 0.02, 0.12, 0.12,  19.241544246673584
5,49,0.81, 0.04, 0.01, 0.1, 0.1,  19.38164758682251
5,50,0.81, 0.04, 0.02, 0.11, 0.11,  19.92222833633423
5,51,0.81, 0.04, 0.01, 0.11, 0.11,  18.984852075576782
5,52,0.81, 0.05, 0.02, 0.13, 0.13,  18.688896656036377
5,53,0.8, 0.04, 0.02, 0.11, 0.11,  19.07418179512024
5,54,0.81, 0.05, 0.02, 0.12, 0.12,  19.116268396377563
5,55,0.81, 0.05, 0.02, 0.12, 0.12,  19.240363121032715
5,56,0.81, 0.04, 0.02, 0.11, 0.11,  19.439597606658936
5,57,0.8, 0.04, 0.02, 0.11, 0.11,  19.08401322364807
5,58,0.81, 0.04, 0.02, 0.11, 0.11,  18.920785427093506
5,59,0.81, 0.04, 0.02, 0.1, 0.1,  19.581740856170654
5,60,0.8, 0.04, 0.02, 0.11, 0.11,  19.22918701171875
5,61,0.81, 0.04, 0.01, 0.1, 0.1,  18.98584771156311
5,62,0.81, 0.05, 0.02, 0.12, 0.12,  19.728166580200195
5,63,0.81, 0.05, 0.02, 0.12, 0.12,  18.874089002609253
5,64,0.8, 0.05, 0.02, 0.12, 0.12,  19.213237762451172
5,65,0.81, 0.05, 0.02, 0.11, 0.11,  19.117961883544922
5,66,0.8, 0.04, 0.02, 0.11, 0.11,  20.235817432403564
5,67,0.81, 0.05, 0.02, 0.11, 0.11,  19.526763439178467
5,68,0.81, 0.05, 0.02, 0.12, 0.12,  19.593190908432007
5,69,0.81, 0.04, 0.02, 0.11, 0.11,  19.326178789138794
5,70,0.81, 0.04, 0.02, 0.1, 0.1,  18.96328616142273
5,71,0.8, 0.05, 0.02, 0.12, 0.12,  18.686721801757812
5,72,0.81, 0.05, 0.02, 0.12, 0.12,  18.976150274276733
5,73,0.81, 0.05, 0.02, 0.11, 0.11,  18.816638231277466
5,74,0.8, 0.05, 0.02, 0.12, 0.12,  19.393466472625732
5,75,0.81, 0.05, 0.02, 0.12, 0.12,  18.90643548965454
5,76,0.81, 0.05, 0.02, 0.12, 0.12,  18.716792345046997
5,77,0.81, 0.05, 0.02, 0.12, 0.12,  19.33258080482483
5,78,0.81, 0.04, 0.02, 0.11, 0.11,  19.07050061225891
5,79,0.8, 0.05, 0.02, 0.12, 0.12,  19.268169403076172
5,80,0.8, 0.04, 0.02, 0.11, 0.11,  18.916783809661865
5,81,0.81, 0.05, 0.02, 0.11, 0.11,  18.876335620880127
5,82,0.81, 0.05, 0.02, 0.12, 0.12,  18.9514799118042
5,83,0.81, 0.05, 0.02, 0.12, 0.12,  18.954557418823242
5,84,0.81, 0.05, 0.02, 0.12, 0.12,  19.212872743606567
5,85,0.81, 0.05, 0.02, 0.12, 0.12,  19.219404220581055
5,86,0.81, 0.04, 0.02, 0.1, 0.1,  19.105515003204346
5,87,0.81, 0.04, 0.02, 0.11, 0.11,  19.701356410980225
5,88,0.81, 0.04, 0.02, 0.09, 0.09,  18.90689253807068
5,89,0.81, 0.04, 0.01, 0.12, 0.12,  19.05698251724243
5,90,0.81, 0.04, 0.01, 0.12, 0.12,  18.905324935913086
5,91,0.81, 0.04, 0.02, 0.1, 0.1,  18.86758279800415
5,92,0.8, 0.05, 0.02, 0.12, 0.12,  18.453918933868408
5,93,0.81, 0.04, 0.02, 0.1, 0.1,  18.825289487838745
5,94,0.81, 0.05, 0.02, 0.12, 0.12,  18.43132472038269
5,95,0.81, 0.05, 0.02, 0.11, 0.11,  18.854044675827026
5,96,0.81, 0.05, 0.02, 0.11, 0.11,  19.264564275741577
5,97,0.81, 0.04, 0.02, 0.1, 0.1,  19.34883689880371
5,98,0.81, 0.05, 0.02, 0.13, 0.13,  19.39629888534546
5,99,0.81, 0.05, 0.02, 0.12, 0.12,  18.773515939712524
5,100,0.8, 0.05, 0.02, 0.11, 0.11,  18.920560598373413
5,101,0.81, 0.05, 0.02, 0.11, 0.11,  19.476664781570435
5,102,0.81, 0.04, 0.02, 0.11, 0.11,  19.266703367233276
5,103,0.81, 0.05, 0.02, 0.12, 0.12,  18.939128875732422
5,104,0.8, 0.04, 0.02, 0.1, 0.1,  19.059086561203003
5,105,0.81, 0.04, 0.01, 0.1, 0.1,  19.30680513381958
5,106,0.81, 0.04, 0.01, 0.11, 0.11,  19.639881372451782
5,107,0.81, 0.04, 0.01, 0.1, 0.1,  19.66352915763855
5,108,0.81, 0.05, 0.02, 0.12, 0.12,  19.4127037525177
5,109,0.81, 0.04, 0.02, 0.11, 0.11,  19.427500009536743
5,110,0.8, 0.04, 0.01, 0.1, 0.1,  19.005043029785156
5,111,0.8, 0.04, 0.01, 0.1, 0.1,  19.072819232940674
5,112,0.81, 0.05, 0.02, 0.12, 0.12,  19.23043966293335
5,113,0.81, 0.04, 0.02, 0.11, 0.11,  19.172253847122192
5,114,0.81, 0.04, 0.01, 0.09, 0.09,  19.304603576660156
5,115,0.81, 0.04, 0.02, 0.11, 0.11,  19.111802577972412
5,116,0.81, 0.04, 0.01, 0.11, 0.11,  18.882846117019653
5,117,0.81, 0.04, 0.01, 0.11, 0.11,  19.044049739837646
5,118,0.81, 0.05, 0.02, 0.12, 0.12,  19.162901401519775
5,119,0.81, 0.04, 0.02, 0.11, 0.11,  18.91117811203003
5,120,0.81, 0.05, 0.02, 0.11, 0.11,  18.82555842399597
5,121,0.81, 0.04, 0.02, 0.11, 0.11,  19.00778031349182
5,122,0.81, 0.05, 0.02, 0.12, 0.12,  18.768839359283447
5,123,0.81, 0.04, 0.02, 0.1, 0.1,  18.85433530807495
5,124,0.8, 0.05, 0.02, 0.12, 0.12,  18.564250707626343
5,125,0.81, 0.04, 0.02, 0.1, 0.1,  18.460927724838257
5,126,0.81, 0.05, 0.02, 0.13, 0.13,  19.107465267181396
5,127,0.81, 0.04, 0.02, 0.11, 0.11,  19.15556240081787
5,128,0.81, 0.04, 0.02, 0.11, 0.11,  18.7566237449646
5,129,0.81, 0.05, 0.02, 0.12, 0.12,  18.682994604110718
