nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5,0,0.91, 0.09, 0.04, 0.12, 0.12,  24.368194818496704
5,1,0.91, 0.1, 0.05, 0.16, 0.16,  5.161729574203491
5,2,0.91, 0.09, 0.04, 0.12, 0.12,  9.904602766036987
5,3,0.91, 0.1, 0.05, 0.14, 0.14,  9.975603580474854
5,4,0.91, 0.1, 0.05, 0.16, 0.16,  19.482312202453613
5,5,0.91, 0.1, 0.04, 0.14, 0.14,  19.20761728286743
5,6,0.91, 0.09, 0.05, 0.11, 0.11,  24.507521629333496
5,7,0.91, 0.09, 0.04, 0.12, 0.12,  19.85499334335327
5,8,0.91, 0.1, 0.04, 0.15, 0.15,  20.080625534057617
5,9,0.91, 0.09, 0.04, 0.15, 0.15,  25.011359691619873
5,10,0.91, 0.09, 0.04, 0.14, 0.14,  19.809609174728394
5,11,0.91, 0.09, 0.04, 0.13, 0.13,  24.865909337997437
5,12,0.91, 0.09, 0.04, 0.13, 0.13,  19.31759262084961
5,13,0.91, 0.1, 0.04, 0.16, 0.16,  19.465150356292725
5,14,0.91, 0.1, 0.04, 0.14, 0.14,  24.639818906784058
5,15,0.91, 0.09, 0.05, 0.13, 0.13,  24.351312160491943
5,16,0.91, 0.1, 0.04, 0.15, 0.15,  24.57819700241089
5,17,0.91, 0.1, 0.05, 0.13, 0.13,  24.532918453216556
5,18,0.91, 0.1, 0.05, 0.15, 0.15,  24.850156545639038
5,19,0.91, 0.09, 0.04, 0.13, 0.13,  24.561988592147827
5,20,0.91, 0.1, 0.04, 0.16, 0.16,  24.73593759536743
5,21,0.91, 0.1, 0.05, 0.14, 0.14,  24.695914030075073
5,22,0.91, 0.1, 0.05, 0.15, 0.15,  24.56618094444275
5,23,0.91, 0.1, 0.04, 0.18, 0.18,  24.72757339477539
5,24,0.9, 0.1, 0.05, 0.14, 0.14,  24.503010511398315
5,25,0.91, 0.1, 0.05, 0.13, 0.13,  24.625450134277344
5,26,0.91, 0.1, 0.05, 0.13, 0.13,  25.048628091812134
5,27,0.91, 0.1, 0.05, 0.16, 0.16,  24.89108633995056
5,28,0.91, 0.09, 0.04, 0.14, 0.14,  24.51814603805542
5,29,0.91, 0.09, 0.05, 0.12, 0.12,  24.846355438232422
5,30,0.91, 0.1, 0.05, 0.15, 0.15,  25.364465475082397
5,31,0.91, 0.1, 0.04, 0.16, 0.16,  24.721493005752563
5,32,0.91, 0.09, 0.04, 0.12, 0.12,  24.640044689178467
5,33,0.91, 0.09, 0.05, 0.12, 0.12,  25.006483554840088
5,34,0.91, 0.09, 0.04, 0.14, 0.14,  24.95500659942627
5,35,0.91, 0.1, 0.05, 0.16, 0.16,  24.891910791397095
5,36,0.91, 0.1, 0.05, 0.15, 0.15,  24.93800377845764
5,37,0.91, 0.1, 0.05, 0.16, 0.16,  24.848588943481445
5,38,0.91, 0.1, 0.05, 0.13, 0.13,  24.78524160385132
5,39,0.91, 0.1, 0.05, 0.15, 0.15,  24.96309995651245
5,40,0.91, 0.1, 0.04, 0.15, 0.15,  25.31697916984558
5,41,0.91, 0.1, 0.04, 0.13, 0.13,  24.93998122215271
5,42,0.91, 0.09, 0.04, 0.14, 0.14,  25.208784103393555
5,43,0.91, 0.09, 0.04, 0.11, 0.11,  24.917231559753418
5,44,0.91, 0.1, 0.04, 0.15, 0.15,  24.742457151412964
5,45,0.91, 0.09, 0.04, 0.13, 0.13,  25.180798768997192
5,46,0.91, 0.09, 0.04, 0.15, 0.15,  24.71761989593506
5,47,0.91, 0.1, 0.04, 0.16, 0.16,  25.141499519348145
5,48,0.91, 0.09, 0.04, 0.14, 0.14,  24.624603986740112
5,49,0.91, 0.1, 0.05, 0.17, 0.17,  24.868743419647217
5,50,0.91, 0.09, 0.04, 0.15, 0.15,  25.405731201171875
5,51,0.91, 0.1, 0.04, 0.16, 0.16,  25.175103902816772
5,52,0.91, 0.09, 0.04, 0.14, 0.14,  24.882939100265503
5,53,0.91, 0.09, 0.04, 0.13, 0.13,  25.002885341644287
5,54,0.91, 0.1, 0.04, 0.16, 0.16,  24.951141595840454
5,55,0.91, 0.1, 0.05, 0.12, 0.12,  25.081915378570557
5,56,0.91, 0.1, 0.04, 0.15, 0.15,  24.882036447525024
5,57,0.91, 0.09, 0.04, 0.14, 0.14,  24.681379079818726
5,58,0.91, 0.1, 0.05, 0.13, 0.13,  24.98577046394348
5,59,0.91, 0.1, 0.05, 0.14, 0.14,  24.655737161636353
5,60,0.91, 0.1, 0.05, 0.14, 0.14,  24.93440318107605
5,61,0.91, 0.09, 0.04, 0.13, 0.13,  26.18372654914856
5,62,0.91, 0.09, 0.04, 0.14, 0.14,  25.140440702438354
5,63,0.91, 0.1, 0.05, 0.15, 0.15,  24.53722310066223
5,64,0.91, 0.1, 0.05, 0.15, 0.15,  25.193819999694824
5,65,0.91, 0.09, 0.04, 0.13, 0.13,  25.215586185455322
5,66,0.91, 0.1, 0.05, 0.13, 0.13,  24.359093189239502
5,67,0.9, 0.1, 0.05, 0.15, 0.15,  24.557591915130615
5,68,0.91, 0.09, 0.04, 0.14, 0.14,  24.886159896850586
5,69,0.91, 0.1, 0.05, 0.15, 0.15,  25.321916818618774
5,70,0.91, 0.1, 0.05, 0.13, 0.13,  24.903056144714355
5,71,0.91, 0.1, 0.05, 0.15, 0.15,  24.74456286430359
5,72,0.91, 0.1, 0.05, 0.15, 0.15,  24.63778781890869
5,73,0.91, 0.1, 0.05, 0.14, 0.14,  25.538875102996826
5,74,0.91, 0.1, 0.05, 0.13, 0.13,  25.308935403823853
5,75,0.91, 0.1, 0.04, 0.14, 0.14,  24.459068536758423
5,76,0.9, 0.09, 0.04, 0.14, 0.14,  24.794387340545654
5,77,0.91, 0.1, 0.04, 0.15, 0.15,  24.818490982055664
5,78,0.91, 0.1, 0.05, 0.17, 0.17,  24.66202664375305
5,79,0.91, 0.1, 0.05, 0.14, 0.14,  24.448512315750122
