nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5, 0, 0.66, 0.39, 0.29, 0.46, 0.46,  4.469374179840088
5, 1, 0.66, 0.36, 0.28, 0.42, 0.42,  0.7826390266418457
5, 2, 0.65, 0.4, 0.33, 0.44, 0.44,  1.695192575454712
5, 3, 0.65, 0.39, 0.3, 0.46, 0.46,  1.7631745338439941
5, 4, 0.66, 0.4, 0.32, 0.46, 0.46,  1.773339033126831
5, 5, 0.66, 0.37, 0.29, 0.44, 0.44,  2.530808210372925
5, 6, 0.66, 0.42, 0.31, 0.5, 0.5,  3.573662281036377
5, 7, 0.66, 0.39, 0.32, 0.44, 0.44,  4.217336893081665
5, 8, 0.67, 0.34, 0.25, 0.4, 0.4,  4.12499475479126
5, 9, 0.67, 0.34, 0.26, 0.4, 0.4,  3.484034776687622
5, 10, 0.66, 0.33, 0.23, 0.41, 0.41,  4.091279983520508
5, 11, 0.65, 0.38, 0.29, 0.45, 0.45,  4.524547576904297
5, 12, 0.66, 0.32, 0.22, 0.39, 0.39,  4.383248805999756
5, 13, 0.65, 0.4, 0.31, 0.46, 0.46,  4.486342430114746
5, 14, 0.67, 0.36, 0.27, 0.42, 0.42,  4.405323505401611
5, 15, 0.67, 0.35, 0.26, 0.4, 0.4,  4.435217618942261
5, 16, 0.66, 0.38, 0.28, 0.45, 0.45,  4.352034091949463
5, 17, 0.65, 0.42, 0.35, 0.46, 0.46,  4.1009204387664795
5, 18, 0.66, 0.34, 0.25, 0.4, 0.4,  4.317014217376709
5, 19, 0.66, 0.37, 0.26, 0.44, 0.44,  4.1378068923950195
5, 20, 0.66, 0.37, 0.26, 0.45, 0.45,  4.414645433425903
5, 21, 0.67, 0.38, 0.27, 0.47, 0.47,  4.39176344871521
5, 22, 0.67, 0.32, 0.24, 0.38, 0.38,  4.4180908203125
5, 23, 0.66, 0.37, 0.28, 0.44, 0.44,  4.460847616195679
5, 24, 0.66, 0.38, 0.3, 0.43, 0.43,  4.498575210571289
5, 25, 0.67, 0.36, 0.26, 0.43, 0.43,  4.387965440750122
5, 26, 0.66, 0.37, 0.27, 0.44, 0.44,  4.449805974960327
5, 27, 0.67, 0.38, 0.29, 0.44, 0.44,  4.301612377166748
5, 28, 0.66, 0.35, 0.24, 0.42, 0.42,  4.469934701919556
5, 29, 0.66, 0.36, 0.26, 0.43, 0.43,  4.48647928237915
5, 30, 0.65, 0.35, 0.25, 0.42, 0.42,  4.3938515186309814
5, 31, 0.66, 0.34, 0.25, 0.41, 0.41,  4.210456132888794
5, 32, 0.66, 0.36, 0.25, 0.44, 0.44,  4.2839977741241455
5, 33, 0.65, 0.43, 0.33, 0.5, 0.5,  4.670861005783081
5, 34, 0.66, 0.36, 0.27, 0.43, 0.43,  4.581897020339966
5, 35, 0.67, 0.35, 0.27, 0.41, 0.41,  4.217663526535034
5, 36, 0.65, 0.35, 0.26, 0.42, 0.42,  4.231115818023682
5, 37, 0.66, 0.37, 0.26, 0.45, 0.45,  4.247136354446411
5, 38, 0.67, 0.39, 0.31, 0.44, 0.44,  4.23818826675415
5, 39, 0.66, 0.32, 0.24, 0.38, 0.38,  4.407578229904175
5, 40, 0.65, 0.4, 0.3, 0.47, 0.47,  4.374801397323608
5, 41, 0.67, 0.34, 0.25, 0.41, 0.41,  4.3172690868377686
5, 42, 0.66, 0.38, 0.29, 0.43, 0.43,  4.193345785140991
5, 43, 0.67, 0.38, 0.29, 0.45, 0.45,  4.510918855667114
5, 44, 0.66, 0.4, 0.32, 0.45, 0.45,  4.65041971206665
5, 45, 0.67, 0.31, 0.21, 0.38, 0.38,  4.361210107803345
5, 46, 0.66, 0.38, 0.31, 0.42, 0.42,  4.3855226039886475
5, 47, 0.66, 0.39, 0.3, 0.46, 0.46,  4.350274085998535
5, 48, 0.66, 0.34, 0.24, 0.42, 0.42,  4.5853166580200195
5, 49, 0.67, 0.32, 0.23, 0.39, 0.39,  4.426241159439087
5, 50, 0.67, 0.36, 0.27, 0.42, 0.42,  4.234596490859985
5, 51, 0.66, 0.36, 0.27, 0.44, 0.44,  4.344934940338135
5, 52, 0.67, 0.37, 0.29, 0.43, 0.43,  4.542480230331421
5, 53, 0.66, 0.34, 0.24, 0.43, 0.43,  4.400668144226074
5, 54, 0.66, 0.36, 0.27, 0.43, 0.43,  4.442847967147827
5, 55, 0.66, 0.31, 0.23, 0.37, 0.37,  4.465368747711182
5, 56, 0.67, 0.31, 0.22, 0.37, 0.37,  4.500542163848877
5, 57, 0.66, 0.37, 0.27, 0.45, 0.45,  4.472828388214111
5, 58, 0.66, 0.39, 0.29, 0.45, 0.45,  4.361197233200073
5, 59, 0.66, 0.38, 0.28, 0.45, 0.45,  4.530350208282471
5, 60, 0.66, 0.35, 0.26, 0.41, 0.41,  4.15262246131897
5, 61, 0.66, 0.36, 0.25, 0.44, 0.44,  4.360545635223389
5, 62, 0.67, 0.38, 0.29, 0.44, 0.44,  4.460065126419067
5, 63, 0.67, 0.38, 0.28, 0.45, 0.45,  4.446242809295654
5, 64, 0.67, 0.33, 0.25, 0.38, 0.38,  4.478964328765869
5, 65, 0.66, 0.35, 0.26, 0.41, 0.41,  4.374803066253662
5, 66, 0.65, 0.34, 0.25, 0.41, 0.41,  4.537271976470947
5, 67, 0.65, 0.4, 0.32, 0.46, 0.46,  4.184072732925415
5, 68, 0.65, 0.41, 0.32, 0.48, 0.48,  4.493606805801392
5, 69, 0.67, 0.37, 0.29, 0.42, 0.42,  4.242891311645508
5, 70, 0.67, 0.37, 0.28, 0.42, 0.42,  4.607214689254761
5, 71, 0.66, 0.36, 0.26, 0.44, 0.44,  4.523213624954224
5, 72, 0.66, 0.38, 0.28, 0.45, 0.45,  4.209682941436768
5, 73, 0.66, 0.36, 0.26, 0.44, 0.44,  4.3053059577941895
5, 74, 0.66, 0.37, 0.27, 0.45, 0.45,  4.80602502822876
5, 75, 0.66, 0.33, 0.23, 0.4, 0.4,  4.376471519470215
5, 76, 0.66, 0.36, 0.27, 0.43, 0.43,  4.354685068130493
5, 77, 0.65, 0.36, 0.27, 0.43, 0.43,  4.507632732391357
5, 78, 0.66, 0.36, 0.25, 0.45, 0.45,  4.078183889389038
5, 79, 0.66, 0.36, 0.26, 0.44, 0.44,  4.396644592285156
5, 80, 0.65, 0.35, 0.27, 0.41, 0.41,  4.375804901123047
5, 81, 0.66, 0.37, 0.27, 0.44, 0.44,  4.327237129211426
5, 82, 0.66, 0.36, 0.26, 0.44, 0.44,  4.433196783065796
5, 83, 0.67, 0.36, 0.28, 0.41, 0.41,  4.477602958679199
5, 84, 0.66, 0.38, 0.28, 0.46, 0.46,  4.536867141723633
5, 85, 0.65, 0.38, 0.29, 0.46, 0.46,  4.457851409912109
5, 86, 0.66, 0.37, 0.26, 0.45, 0.45,  4.099101543426514
5, 87, 0.66, 0.34, 0.24, 0.41, 0.41,  4.124832391738892
5, 88, 0.66, 0.35, 0.25, 0.42, 0.42,  4.472531795501709
5, 89, 0.67, 0.37, 0.28, 0.44, 0.44,  4.3077991008758545
5, 90, 0.66, 0.36, 0.26, 0.44, 0.44,  4.204564809799194
5, 91, 0.66, 0.32, 0.21, 0.4, 0.4,  4.327354669570923
5, 92, 0.66, 0.39, 0.29, 0.47, 0.47,  4.263953924179077
5, 93, 0.66, 0.35, 0.24, 0.43, 0.43,  4.009555816650391
5, 94, 0.67, 0.32, 0.23, 0.38, 0.38,  4.237077713012695
5, 95, 0.66, 0.39, 0.28, 0.48, 0.48,  4.2539756298065186
5, 96, 0.66, 0.34, 0.24, 0.42, 0.42,  4.17388391494751
5, 97, 0.66, 0.34, 0.25, 0.42, 0.42,  4.352205276489258
5, 98, 0.66, 0.38, 0.28, 0.45, 0.45,  4.270447015762329
5, 99, 0.66, 0.32, 0.23, 0.39, 0.39,  4.36197829246521
5, 100, 0.66, 0.38, 0.28, 0.46, 0.46,  4.019453287124634
5, 101, 0.67, 0.35, 0.25, 0.41, 0.41,  4.2786407470703125
5, 102, 0.66, 0.34, 0.25, 0.41, 0.41,  4.4565980434417725
5, 103, 0.66, 0.39, 0.3, 0.44, 0.44,  4.206555128097534
5, 104, 0.67, 0.36, 0.28, 0.42, 0.42,  4.276813507080078
5, 105, 0.66, 0.29, 0.19, 0.37, 0.37,  4.118989944458008
5, 106, 0.65, 0.42, 0.34, 0.48, 0.48,  4.2250683307647705
5, 107, 0.67, 0.4, 0.29, 0.48, 0.48,  4.23450493812561
5, 108, 0.66, 0.34, 0.25, 0.41, 0.41,  4.082312822341919
5, 109, 0.66, 0.31, 0.23, 0.37, 0.37,  4.250908851623535
5, 110, 0.66, 0.4, 0.31, 0.46, 0.46,  4.252876043319702
5, 111, 0.66, 0.35, 0.25, 0.42, 0.42,  4.41741156578064
5, 112, 0.66, 0.34, 0.25, 0.4, 0.4,  4.291358470916748
5, 113, 0.66, 0.37, 0.28, 0.43, 0.43,  4.150335788726807
5, 114, 0.65, 0.36, 0.26, 0.43, 0.43,  4.180731296539307
5, 115, 0.66, 0.37, 0.27, 0.44, 0.44,  4.30035924911499
5, 116, 0.66, 0.4, 0.31, 0.46, 0.46,  4.255109786987305
5, 117, 0.66, 0.39, 0.28, 0.48, 0.48,  4.440609693527222
5, 118, 0.65, 0.38, 0.28, 0.46, 0.46,  4.465302467346191
5, 119, 0.66, 0.36, 0.26, 0.44, 0.44,  4.404321193695068
5, 120, 0.66, 0.38, 0.29, 0.45, 0.45,  4.283155918121338
5, 121, 0.66, 0.38, 0.29, 0.44, 0.44,  4.231555223464966
5, 122, 0.67, 0.34, 0.24, 0.41, 0.41,  4.264776229858398
5, 123, 0.67, 0.41, 0.32, 0.48, 0.48,  4.33696985244751
5, 124, 0.67, 0.36, 0.27, 0.41, 0.41,  4.417715549468994
5, 125, 0.66, 0.37, 0.27, 0.45, 0.45,  4.070321798324585
5, 126, 0.66, 0.38, 0.29, 0.46, 0.46,  3.8914241790771484
5, 127, 0.66, 0.37, 0.29, 0.42, 0.42,  4.358204126358032
5, 128, 0.67, 0.35, 0.26, 0.42, 0.42,  4.21907114982605
5, 129, 0.67, 0.38, 0.29, 0.43, 0.43,  4.4629292488098145
5, 130, 0.67, 0.37, 0.3, 0.42, 0.42,  4.285294771194458
5, 131, 0.67, 0.35, 0.25, 0.42, 0.42,  4.176114082336426
5, 132, 0.66, 0.36, 0.27, 0.43, 0.43,  4.285402774810791
5, 133, 0.66, 0.36, 0.26, 0.44, 0.44,  4.377907752990723
5, 134, 0.67, 0.34, 0.24, 0.41, 0.41,  4.430674076080322
5, 135, 0.66, 0.39, 0.29, 0.46, 0.46,  4.6021668910980225
5, 136, 0.66, 0.39, 0.31, 0.45, 0.45,  4.185492277145386
5, 137, 0.66, 0.36, 0.26, 0.43, 0.43,  4.247101783752441
5, 138, 0.66, 0.36, 0.25, 0.44, 0.44,  4.459574937820435
5, 139, 0.66, 0.43, 0.34, 0.5, 0.5,  4.349201202392578
5, 140, 0.67, 0.36, 0.27, 0.43, 0.43,  4.399065732955933
5, 141, 0.66, 0.36, 0.26, 0.44, 0.44,  4.291142225265503
5, 142, 0.66, 0.35, 0.25, 0.42, 0.42,  4.055269479751587
5, 143, 0.66, 0.32, 0.23, 0.39, 0.39,  4.402088165283203
5, 144, 0.65, 0.37, 0.29, 0.44, 0.44,  4.205451965332031
5, 145, 0.65, 0.42, 0.33, 0.5, 0.5,  4.2672438621521
5, 146, 0.66, 0.38, 0.29, 0.45, 0.45,  4.496938705444336
5, 147, 0.66, 0.36, 0.28, 0.42, 0.42,  4.228853225708008
5, 148, 0.66, 0.34, 0.25, 0.39, 0.39,  4.421241760253906
5, 149, 0.67, 0.35, 0.25, 0.43, 0.43,  4.362126111984253
5, 150, 0.67, 0.34, 0.24, 0.41, 0.41,  4.356337308883667
5, 151, 0.66, 0.32, 0.23, 0.4, 0.4,  4.35067343711853
5, 152, 0.66, 0.35, 0.25, 0.43, 0.43,  4.418381690979004
5, 153, 0.66, 0.32, 0.23, 0.39, 0.39,  4.240782260894775
5, 154, 0.66, 0.35, 0.24, 0.43, 0.43,  4.208650827407837
5, 155, 0.66, 0.41, 0.32, 0.47, 0.47,  4.326371431350708
5, 156, 0.67, 0.37, 0.27, 0.45, 0.45,  4.324554681777954
5, 157, 0.66, 0.36, 0.28, 0.41, 0.41,  4.335386514663696
5, 158, 0.66, 0.35, 0.26, 0.43, 0.43,  4.380155801773071
5, 159, 0.66, 0.4, 0.32, 0.46, 0.46,  4.263544321060181
5, 160, 0.67, 0.34, 0.26, 0.39, 0.39,  4.322417259216309
5, 161, 0.66, 0.36, 0.27, 0.43, 0.43,  4.16082501411438
5, 162, 0.66, 0.39, 0.3, 0.45, 0.45,  4.508013963699341
5, 163, 0.66, 0.35, 0.26, 0.42, 0.42,  4.335093259811401
5, 164, 0.67, 0.39, 0.31, 0.44, 0.44,  4.332653284072876
5, 165, 0.66, 0.39, 0.3, 0.46, 0.46,  4.19072151184082
5, 166, 0.67, 0.38, 0.28, 0.45, 0.45,  4.212181091308594
5, 167, 0.66, 0.39, 0.31, 0.44, 0.44,  4.2945876121521
5, 168, 0.67, 0.32, 0.23, 0.38, 0.38,  4.610929012298584
5, 169, 0.67, 0.38, 0.29, 0.45, 0.45,  4.237617492675781
5, 170, 0.66, 0.38, 0.28, 0.46, 0.46,  4.118441343307495
5, 171, 0.66, 0.34, 0.25, 0.4, 0.4,  4.273556709289551
5, 172, 0.65, 0.38, 0.31, 0.43, 0.43,  4.441713094711304
5, 173, 0.66, 0.39, 0.29, 0.47, 0.47,  4.485088109970093
5, 174, 0.67, 0.37, 0.28, 0.44, 0.44,  4.133202075958252
5, 175, 0.65, 0.44, 0.36, 0.49, 0.49,  4.3865461349487305
5, 176, 0.67, 0.34, 0.25, 0.41, 0.41,  4.037081241607666
5, 177, 0.66, 0.36, 0.25, 0.44, 0.44,  4.326802968978882
5, 178, 0.66, 0.39, 0.31, 0.43, 0.43,  4.3699846267700195
5, 179, 0.66, 0.33, 0.24, 0.39, 0.39,  4.216974496841431
5, 180, 0.66, 0.36, 0.26, 0.43, 0.43,  3.9172959327697754
5, 181, 0.66, 0.34, 0.25, 0.42, 0.42,  4.368455648422241
5, 182, 0.66, 0.36, 0.26, 0.45, 0.45,  4.339594602584839
5, 183, 0.66, 0.35, 0.25, 0.42, 0.42,  4.098642826080322
5, 184, 0.66, 0.38, 0.3, 0.44, 0.44,  4.3867082595825195
5, 185, 0.66, 0.42, 0.34, 0.47, 0.47,  4.225379467010498
5, 186, 0.65, 0.4, 0.31, 0.46, 0.46,  4.270627021789551
5, 187, 0.66, 0.38, 0.29, 0.44, 0.44,  4.386080265045166
5, 188, 0.66, 0.37, 0.26, 0.46, 0.46,  4.313198089599609
5, 189, 0.66, 0.33, 0.24, 0.4, 0.4,  4.302619457244873
5, 190, 0.66, 0.36, 0.27, 0.44, 0.44,  4.3432207107543945
5, 191, 0.66, 0.37, 0.28, 0.43, 0.43,  4.2249181270599365
5, 192, 0.66, 0.36, 0.26, 0.44, 0.44,  4.155337572097778
5, 193, 0.66, 0.3, 0.21, 0.37, 0.37,  4.356615304946899
5, 194, 0.66, 0.43, 0.33, 0.5, 0.5,  4.209259986877441
5, 195, 0.65, 0.45, 0.37, 0.51, 0.51,  4.426233530044556
5, 196, 0.66, 0.39, 0.28, 0.47, 0.47,  4.291988849639893
5, 197, 0.66, 0.35, 0.26, 0.42, 0.42,  4.12021803855896
5, 198, 0.65, 0.31, 0.22, 0.38, 0.38,  4.350007772445679
