nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5, 327, 0.84,0.18,0.08,0.19,0.19, 31.888540267944336
5, 1636, 0.84,0.18,0.08,0.18,0.18, 32.074626445770264
5, 3272, 0.84,0.18,0.08,0.18,0.18, 31.593305587768555
5, 4909, 0.84,0.18,0.08,0.2,0.2, 31.139344692230225
5, 6545, 0.84,0.18,0.08,0.17,0.17, 32.625344038009644
5, 8181, 0.84,0.18,0.08,0.18,0.18, 32.12211775779724
5, 9817, 0.84,0.18,0.08,0.19,0.19, 32.135117292404175
5, 11453, 0.84,0.19,0.09,0.21,0.21, 32.910077810287476
5, 13089, 0.84,0.19,0.08,0.19,0.19, 31.123767137527466
5, 14726, 0.84,0.18,0.09,0.17,0.17, 31.889291286468506
5, 16362, 0.84,0.18,0.08,0.19,0.19, 33.53236746788025
5, 17998, 0.84,0.18,0.07,0.18,0.18, 32.3947639465332
5, 19634, 0.83,0.19,0.09,0.21,0.21, 33.45903205871582
5, 21270, 0.84,0.18,0.08,0.19,0.19, 32.311816692352295
5, 22906, 0.83,0.19,0.09,0.18,0.18, 33.45442080497742
5, 24543, 0.84,0.18,0.08,0.17,0.17, 30.319467067718506
5, 26100, 0.84,0.19,0.09,0.2,0.2, 30.7973849773407
5, 27815, 0.84,0.18,0.08,0.19,0.19, 33.20514178276062
5, 29451, 0.84,0.18,0.08,0.18,0.18, 31.51302409172058
5, 31087, 0.84,0.18,0.07,0.17,0.17, 31.49381685256958
