nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5, 42, 0.66,0.36,0.27,0.43,0.43, 4.433178424835205
5, 206, 0.66,0.37,0.27,0.45,0.45, 4.180753231048584
5, 412, 0.66,0.37,0.29,0.42,0.42, 4.240123271942139
5, 618, 0.66,0.35,0.26,0.41,0.41, 4.07154107093811
5, 824, 0.67,0.34,0.25,0.39,0.39, 4.416507959365845
5, 1030, 0.66,0.4,0.31,0.48,0.48, 4.411255359649658
5, 1236, 0.66,0.28,0.2,0.32,0.32, 4.165887832641602
5, 1442, 0.67,0.36,0.27,0.42,0.42, 4.342212677001953
5, 1648, 0.66,0.27,0.18,0.34,0.34, 4.211948871612549
5, 1854, 0.66,0.45,0.35,0.53,0.53, 4.470177888870239
5, 2060, 0.65,0.38,0.29,0.45,0.45, 4.1802144050598145
5, 2266, 0.67,0.36,0.27,0.43,0.43, 4.260544300079346
5, 2513, 0.67,0.31,0.21,0.38,0.38, 3.988189697265625
5, 2678, 0.64,0.38,0.31,0.44,0.44, 4.225154876708984
5, 2884, 0.66,0.35,0.26,0.41,0.41, 4.312389612197876
5, 3090, 0.67,0.35,0.27,0.41,0.41, 3.998518943786621
5, 3296, 0.64,0.3,0.21,0.36,0.36, 4.166989326477051
5, 3502, 0.66,0.32,0.22,0.39,0.39, 4.06145715713501
5, 3708, 0.66,0.37,0.26,0.45,0.45, 3.9467031955718994
5, 3914, 0.64,0.46,0.4,0.5,0.5, 3.980207681655884
