nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5, 200, 0.81,0.05,0.02,0.13,0.13, 18.214922189712524
5, 1005, 0.81,0.05,0.02,0.11,0.11, 17.839578866958618
5, 2009, 0.81,0.04,0.02,0.11,0.11, 18.193127870559692
5, 3014, 0.81,0.04,0.02,0.1,0.1, 18.41065502166748
5, 4019, 0.81,0.04,0.01,0.11,0.11, 18.64695405960083
5, 5023, 0.81,0.05,0.02,0.11,0.11, 18.518029928207397
5, 7031, 0.8,0.04,0.02,0.1,0.1, 18.6205792427063
5, 8036, 0.81,0.04,0.02,0.1,0.1, 18.599535703659058
5, 9040, 0.81,0.04,0.01,0.1,0.1, 18.559449672698975
5, 10045, 0.81,0.04,0.01,0.12,0.12, 18.384102821350098
5, 11049, 0.8,0.04,0.02,0.1,0.1, 18.811994314193726
5, 12054, 0.81,0.03,0.01,0.09,0.09, 18.77982997894287
5, 13058, 0.81,0.04,0.02,0.1,0.1, 18.714479446411133
