nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5, 275, 0.91,0.1,0.05,0.14,0.14, 25.855323791503906
5, 1380, 0.91,0.1,0.05,0.13,0.13, 25.040509700775146
5, 2759, 0.91,0.09,0.04,0.14,0.14, 25.291454553604126
5, 4138, 0.91,0.09,0.04,0.15,0.15, 25.233635425567627
5, 5517, 0.91,0.1,0.04,0.14,0.14, 24.896424055099487
5, 6897, 0.91,0.09,0.04,0.13,0.13, 25.206847190856934
5, 8276, 0.91,0.1,0.04,0.14,0.14, 25.583039045333862
5, 9655, 0.91,0.1,0.05,0.14,0.14, 25.873077630996704
5, 11034, 0.91,0.1,0.04,0.14,0.14, 26.12714433670044
5, 12414, 0.91,0.09,0.04,0.14,0.14, 26.470045566558838
5, 13793, 0.9,0.1,0.04,0.16,0.16, 25.83371329307556
5, 15172, 0.91,0.1,0.05,0.13,0.13, 26.318540573120117
5, 16552, 0.91,0.11,0.06,0.17,0.17, 26.02904200553894
5, 17931, 0.9,0.09,0.04,0.11,0.11, 26.303735971450806
5, 19310, 0.9,0.1,0.05,0.16,0.16, 26.06705117225647
5, 20691, 0.91,0.1,0.05,0.16,0.16, 25.809523582458496
5, 22071, 0.91,0.1,0.05,0.16,0.16, 26.054810762405396
5, 23450, 0.91,0.09,0.04,0.12,0.12, 26.0758535861969
5, 24830, 0.91,0.09,0.04,0.12,0.12, 25.827364683151245
