nb_shards,nb_requests,accuracy, SP,PE,EOpp,EOdds,retraining_time
5, 1310, 0.79,0.02,0.0,0.12,0.12, 116.08408999443054
5, 6554, 0.79,0.01,0.0,0.09,0.09, 115.37652015686035
5, 13109, 0.79,0.0,0.0,0.0,0.0, 120.77580046653748
5, 19664, 0.79,0.02,0.0,0.12,0.12, 118.96768426895142
5, 26219, 0.79,0.0,0.0,0.0,0.0, 127.80207681655884
5, 32773, 0.79,0.01,0.0,0.09,0.09, 126.55898690223694
5, 39328, 0.79,0.0,0.0,0.0,0.0, 127.36585760116577
5, 45883, 0.79,0.0,0.0,0.0,0.0, 127.5004289150238
5, 52438, 0.79,0.0,0.0,0.0,0.0, 133.9628050327301
5, 58992, 0.79,0.0,0.0,0.0,0.0, 136.3341405391693
5, 65547, 0.79,0.0,0.0,0.0,0.0, 137.61336207389832
5, 72102, 0.79,0.02,0.0,0.18,0.18, 139.46742844581604
5, 78657, 0.79,0.01,0.0,0.07,0.07, 139.36670541763306
5, 85211, 0.79,0.0,0.0,0.0,0.0, 140.34471940994263
