age,workclass,education,marital-status,occupation,relationship,race,hours-per-week,native-country,income,male,female
33.0,1.0,21.0,1.0,5000.0,6.0,0.0,1.0,1.0,1,40.0,40.0
21.0,1.0,16.0,5.0,6442.0,6.0,12.0,1.0,1.0,0,40.0,40.0
23.0,1.0,16.0,1.0,7420.0,6.0,0.0,1.0,1.0,0,40.0,40.0
39.0,1.0,16.0,5.0,4720.0,6.0,2.0,2.0,1.0,0,8.0,8.0
55.0,4.0,21.0,4.0,2310.0,6.0,11.0,1.0,1.0,1,50.0,50.0
54.0,1.0,20.0,5.0,3255.0,6.0,0.0,2.0,1.0,1,40.0,40.0
48.0,1.0,18.0,1.0,2600.0,247.0,0.0,1.0,6.0,0,30.0,30.0
19.0,1.0,18.0,5.0,9640.0,8.0,17.0,2.0,1.0,0,48.0,48.0
28.0,1.0,21.0,5.0,2640.0,27.0,0.0,2.0,1.0,1,45.0,45.0
43.0,1.0,19.0,1.0,4110.0,6.0,16.0,1.0,3.0,0,48.0,48.0
51.0,8.0,15.0,1.0,4720.0,239.0,1.0,2.0,1.0,0,12.0,12.0
38.0,2.0,21.0,1.0,2310.0,6.0,2.0,1.0,1.0,1,40.0,40.0
29.0,3.0,23.0,5.0,3090.0,6.0,0.0,1.0,9.0,0,40.0,40.0
39.0,1.0,22.0,1.0,4710.0,247.0,0.0,1.0,6.0,1,55.0,55.0
58.0,6.0,9.0,1.0,8320.0,303.0,0.0,2.0,8.0,0,40.0,40.0
20.0,1.0,14.0,5.0,3602.0,6.0,5.0,2.0,8.0,0,40.0,40.0
63.0,1.0,22.0,1.0,10.0,243.0,1.0,1.0,1.0,1,40.0,40.0
37.0,3.0,16.0,3.0,3500.0,6.0,0.0,2.0,1.0,0,43.0,43.0
58.0,1.0,21.0,5.0,8140.0,303.0,0.0,1.0,1.0,1,40.0,40.0
34.0,6.0,21.0,5.0,4920.0,6.0,0.0,1.0,1.0,0,20.0,20.0
28.0,1.0,16.0,5.0,8300.0,6.0,0.0,2.0,8.0,0,30.0,30.0
40.0,1.0,16.0,1.0,4000.0,247.0,1.0,2.0,6.0,0,16.0,16.0
20.0,1.0,16.0,5.0,4020.0,6.0,12.0,1.0,8.0,0,30.0,30.0
42.0,1.0,21.0,5.0,4850.0,25.0,0.0,1.0,1.0,1,80.0,80.0
59.0,1.0,18.0,3.0,3602.0,6.0,0.0,2.0,1.0,0,20.0,20.0
33.0,3.0,21.0,1.0,3545.0,461.0,1.0,2.0,2.0,1,50.0,50.0
28.0,2.0,20.0,1.0,3930.0,6.0,7.0,1.0,6.0,0,40.0,40.0
59.0,3.0,21.0,3.0,230.0,6.0,0.0,1.0,1.0,1,8.0,8.0
45.0,1.0,18.0,4.0,5240.0,303.0,0.0,2.0,1.0,0,34.0,34.0
54.0,1.0,17.0,5.0,1551.0,36.0,15.0,1.0,1.0,0,40.0,40.0
