Dataset,Model,requests,Partition,Accuracy,SP,PE,EOpp,EOdds
Adult Income,DNN,327,Test,0.85,0.16,0.06,0.08,0.08
Adult Income,DNN,1636,Test,0.85,0.17,0.07,0.08,0.08
Adult Income,DNN,3272,Test,0.85,0.14,0.05,0.02,0.05
Adult Income,DNN,4909,Test,0.85,0.18,0.08,0.09,0.09
Adult Income,DNN,6545,Test,0.84,0.16,0.06,0.06,0.06
Adult Income,DNN,8181,Test,0.85,0.16,0.06,0.09,0.09
Adult Income,DNN,9817,Test,0.85,0.15,0.05,0.1,0.1
Adult Income,DNN,11453,Test,0.85,0.13,0.04,0.04,0.04
Adult Income,DNN,13089,Test,0.85,0.14,0.04,0.06,0.06
Adult Income,DNN,14726,Test,0.85,0.14,0.05,0.06,0.06
Adult Income,DNN,16362,Test,0.85,0.15,0.05,0.04,0.05
Adult Income,DNN,17998,Test,0.85,0.16,0.06,0.08,0.08
Adult Income,DNN,19634,Test,0.85,0.14,0.04,0.09,0.09
Adult Income,DNN,21270,Test,0.85,0.13,0.04,0.06,0.06
Adult Income,DNN,22906,Test,0.85,0.15,0.06,0.08,0.08
Adult Income,DNN,24543,Test,0.85,0.15,0.06,0.08,0.08
Adult Income,DNN,26179,Test,0.85,0.16,0.07,0.08,0.08
Adult Income,DNN,27815,Test,0.85,0.16,0.06,0.09,0.09
Adult Income,DNN,29451,Test,0.85,0.16,0.06,0.12,0.12
Adult Income,DNN,31087,Test,0.85,0.15,0.06,0.12,0.12
