Dataset,Model,requests,Partition,Accuracy,SP,PE,EOpp,EOdds
COMPAS,AdaBoost,42,Test,0.68,0.2,0.14,0.21,0.21
COMPAS,AdaBoost,206,Test,0.68,0.2,0.14,0.21,0.21
COMPAS,AdaBoost,412,Test,0.67,0.22,0.16,0.25,0.25
COMPAS,AdaBoost,618,Test,0.68,0.2,0.14,0.23,0.23
COMPAS,AdaBoost,824,Test,0.66,0.19,0.13,0.22,0.22
COMPAS,AdaBoost,1030,Test,0.66,0.18,0.16,0.16,0.16
COMPAS,AdaBoost,1236,Test,0.67,0.2,0.14,0.22,0.22
COMPAS,AdaBoost,1442,Test,0.68,0.21,0.17,0.19,0.19
COMPAS,AdaBoost,1648,Test,0.68,0.18,0.1,0.22,0.22
COMPAS,AdaBoost,1854,Test,0.67,0.2,0.13,0.23,0.23
COMPAS,AdaBoost,2060,Test,0.69,0.19,0.13,0.22,0.22
COMPAS,AdaBoost,2266,Test,0.68,0.21,0.15,0.23,0.23
COMPAS,AdaBoost,2678,Test,0.67,0.2,0.16,0.19,0.19
COMPAS,AdaBoost,2884,Test,0.68,0.19,0.13,0.22,0.22
