Dataset,Model,requests,Partition,Accuracy,SP,PE,EOpp,EOdds
COMPAS,DNN,42,Test,0.68,0.23,0.16,0.27,0.27
COMPAS,DNN,206,Test,0.67,0.27,0.21,0.29,0.29
COMPAS,DNN,412,Test,0.68,0.21,0.13,0.25,0.25
COMPAS,DNN,618,Test,0.68,0.27,0.2,0.3,0.3
COMPAS,DNN,824,Test,0.67,0.27,0.2,0.3,0.3
COMPAS,DNN,1030,Test,0.68,0.24,0.16,0.3,0.3
COMPAS,DNN,1236,Test,0.68,0.23,0.15,0.27,0.27
COMPAS,DNN,1442,Test,0.67,0.27,0.2,0.3,0.3
COMPAS,DNN,1648,Test,0.68,0.22,0.15,0.26,0.26
COMPAS,DNN,1854,Test,0.66,0.28,0.18,0.36,0.36
COMPAS,DNN,2060,Test,0.68,0.21,0.13,0.25,0.25
COMPAS,DNN,2266,Test,0.68,0.17,0.08,0.23,0.23
COMPAS,DNN,2678,Test,0.68,0.19,0.12,0.23,0.23
COMPAS,DNN,2884,Test,0.65,0.3,0.23,0.34,0.34
COMPAS,DNN,2513,Test,0.69,0.27,0.2,0.3,0.3
COMPAS,DNN,3090,Test,0.68,0.17,0.11,0.18,0.18
COMPAS,DNN,3296,Test,0.67,0.29,0.23,0.32,0.32
COMPAS,DNN,3502,Test,0.67,0.22,0.13,0.28,0.28
COMPAS,DNN,3708,Test,0.68,0.23,0.17,0.24,0.24
COMPAS,DNN,3914,Test,0.68,0.18,0.11,0.21,0.21
